id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,emIngles
tt3854690,Cultural Wars,Cultural Wars,2014,81,Romance,8.2,7,actress,Monica's Mother,Thedra Porter,N,N,"actress,miscellaneous,producer","tt3854690,tt2452242,tt4733624,tt0203259",False
tt3863784,One More Day,One More Day,2015,N,Romance,6.3,17,actor,N,Gerardo Amato,1948,N,actor,"tt0082883,tt0132607,tt0081800,tt0096759",True
tt3867556,Hrid Majharey: Live in My Heart!,Hrid Majharey: Live in My Heart!,2014,122,Romance,6.4,225,actor,Professor Sen,Barun Chanda,1945,N,"actor,casting_department","tt3148268,tt2224317,tt7441984,tt5354262",True
tt3869260,Die Spook van Uniondale,Die Spook van Uniondale,2014,107,Romance,5.4,97,actor,Frank,André Stolz,N,N,actor,"tt1482143,tt1438524,tt2304771,tt0326208",False
tt3886682,Baavare Prem He,Baavare Prem He,2014,123,Romance,6.3,27,actor,N,Madhav Abhynkar,N,N,actor,"tt10340968,tt3021806,tt3886682",False
tt3905168,The Night We Met,The Night We Met,2019,94,Romance,7.1,53,actor,JoJo,Lawton Denis,N,N,actor,"tt3749900,tt2647544,tt3905168,tt4797436",True
tt3917316,Barcelona Christmas Night,"Barcelona, nit d'hivern",2015,95,Romance,6.5,879,actor,Artur,Artur Busquets,N,N,"actor,writer","tt10946062,tt14303754,tt1847905,tt7180852",False
tt3921664,Ishq Wala Love,Ishq Wala Love,2014,120,Romance,5.8,34,actress,N,Suchitra Bandekar,N,N,"actress,producer","tt1948150,tt7212726,tt5762426,tt10622972",False
tt3951558,The Accident,The Accident,2017,49,Romance,6.6,7,actress,Allie,Jayde Rossi,1985,N,"actress,miscellaneous","tt0804503,tt4510398,tt1219024,tt1124373",True
tt3958374,Golapi Golapi,Golapi Golapi,2014,162,Romance,6.4,18,actress,Rashmi,Deepani,N,N,actress,tt3958374,False
tt3983640,Wat mannen willen,Wat mannen willen,2015,105,Romance,5.1,359,actor,Vincent,Louis Talpe,1981,N,actor,"tt6387056,tt3542324,tt5247798,tt4387170",False
tt3996970,Pune Via Bihar,Pune Via Bihar,2014,128,Romance,4.6,17,actor,Reetlal yadav,Mahmood Hashmi,N,N,actor,"tt4129428,tt2675978,tt2424988,tt3709344",False
tt4007368,Love Day,Love Day,2016,N,Romance,4.5,20,actor,Prof kutkutte,Abhishek Maindola,N,N,actor,"tt9610262,tt9390222,tt15223470,tt4007368",True
tt4016152,Santa Barbara,Santa Barbara,2014,99,Romance,5.6,29,actress,So-young,Esom,1990,N,actress,"tt8191502,tt3958014,tt7278588,tt13210996",False
tt4070204,Purnodoirgho Prem Kahini 2,Purnodoirgho Prem Kahini 2,2016,148,Romance,3.7,94,actor,Rayan Khan,Mamnun Hasan Emon,N,N,"actor,assistant_director,soundtrack","tt4175960,tt1728125,tt10323688,tt2943024",False
tt4084182,Bahaddur,Bahaddur,2014,153,Romance,6.2,229,actor,Appaji Gowda,P. Ravi Shankar,1966,N,"actor,writer,soundtrack","tt2631186,tt4849438,tt0319557,tt1964837",False
tt4094916,When Love Happens,When Love Happens,2014,109,Romance,4.8,132,actress,Kc,Kc Ejelonu,N,N,actress,"tt9208732,tt4094916,tt10145220,tt14553826",True
tt4112354,Rough,Rough,2014,180,Romance,4.3,112,actress,N,Rakul Preet Singh,1990,N,actress,"tt11460992,tt3982436,tt11213600,tt5098128",True
tt4114302,Phir Se...,Phir Se...,2018,118,Romance,5.3,228,actor,London Airport Commuter,Atul Sharma,N,N,"actor,producer,art_department","tt6463730,tt5873376,tt3879168,tt5798156",False
tt4119590,Initiation Love,Inishiêshon rabu,2015,110,Romance,7.0,1095,actor,N,Tsurutarô Kataoka,1954,N,actor,"tt4202514,tt3786488,tt5081340,tt0125217",False
tt4145850,Pagala Karichu Tu,Pagala Karichu Tu,2014,N,Romance,7.6,6,actor,Shiba,Amlan Das,N,N,actor,"tt3313920,tt2928118,tt21327150,tt5856064",False
tt4183862,Lekhu Lekhu Lekhi Deli,Lekhu Lekhu Lekhi Deli,2014,N,Romance,7.5,16,actress,Indu,Ankita Bhowmick,N,N,actress,"tt2022353,tt2912968,tt4367318,tt4183862",False
tt4188582,Rendu Rellu Naluge,Rendu Rellu Naluge,2014,150,Romance,4.3,11,actor,Sairam Shankar,Mohan Davuluri,N,N,actor,tt4188582,False
tt4189646,2 Gentlemen of Verona,2 Gentlemen of Verona,2018,99,Romance,3.0,46,actor,Duke Milan,Fred Gerle,N,N,actor,"tt12003124,tt21242364,tt3109314,tt4189646",True
tt4192656,Chuye Dile Mon,Chuye Dile Mon,2015,156,Romance,7.1,1829,actor,Abir,Arifin Shuvo,1982,N,"actor,writer","tt6220664,tt5534436,tt3095464,tt5643942",False
tt4218580,Reggie Gaskins' Urban Love Story,Reggie Gaskins' Urban Love Story,2015,N,Romance,6.9,13,actress,Daphne Jordan,Diandra Lyle,N,N,"actress,producer,writer","tt8594164,tt0364845,tt10329642,tt5910786",True
tt4226230,Lovers,Lovers,2014,130,Romance,6.4,104,actress,Chitra,Nandita Raj,N,N,actress,"tt2971414,tt10515480,tt6861726,tt3685702",False
tt4256244,Dirty Marriage,Dirty Marriage,2014,82,Romance,4.4,6,actress,N,Preet Kaur Nayak,N,N,actress,"tt0401916,tt2155776,tt1943898,tt4256244",False
tt4271820,OK Kanmani,OK Kanmani,2015,139,Romance,7.4,6124,actor,Ganapathy,Prakash Raj,1965,N,"actor,producer,director","tt10698680,tt0376127,tt0140303,tt1526875",False
tt4293766,Kayal,Kayal,2014,139,Romance,6.5,401,actress,Kayalvizhi,Anandhi,1993,N,actress,"tt4293766,tt7087944,tt4991384,tt8176054",False
tt4295992,Seni Seviyorum Adamim,Seni Seviyorum Adamim,2014,N,Romance,5.0,1051,actress,Anneanne,Aysen Gruda,1944,2019,actress,"tt0485510,tt3698408,tt1783311,tt0253614",False
tt4299234,Fire Island,Fire Island,2019,79,Romance,3.3,25,actress,Mimi,Carly Brooke,1989,N,actress,"tt3288518,tt7183074,tt7026270,tt9742936",True
tt4311466,For Love or Money,Lushui Hongyan,2014,98,Romance,5.3,252,actress,Ming Zhen,Yan Tang,1983,N,"actress,soundtrack","tt6353308,tt7297252,tt5662664,tt6131630",False
tt4320128,Meri Jaan,Meri Jaan,2015,N,Romance,3.1,19,actor,N,Babar Ali,N,N,actor,"tt4139928,tt5491752,tt0237475,tt1643227",False
