id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos,Is_English
tt12142502,Super Senior Heroes,Super Senior Heroes,2022,140,Drama,5.8,48,actor,Mohan,Manobala,N,N,"actor,director,writer","tt2187153,tt0320728,tt3711164,tt10127712",True
tt12144262,Paloma,Paloma,2022,104,Drama,7.7,74,actor,N,Márcio Flecher,N,N,,tt12144262,False
tt12147360,Fire on the Plain,Ping yuan shang de huo yan,2021,113,Drama,7.3,86,actress,N,Dongyu Zhou,1992,N,actress,"tt6772874,tt6054290,tt9586294,tt8033592",False
tt12150172,Nirmal Anand Ki Puppy,Nirmal Anand Ki Puppy,2019,100,Drama,9.2,22,actor,Nirmal Anand,Karanveer Khullar,N,N,actor,"tt15307404,tt12150172,tt7102426,tt15338698",False
tt12150578,Sweet Mahogany,Sweet Mahogany,2020,86,Drama,5.9,19,actress,Mahogany Andrews,Jessica Lark,N,N,"actress,producer",tt3832914,False
tt12152428,The Sin Choice,The Sin Choice,2020,78,Drama,6.0,12,actress,N,Elise Neal,1966,N,"actress,producer","tt3315342,tt0119695,tt0120082,tt0410097",True
tt12152790,Shizukana ame,Shizukana ame,2019,99,Drama,6.1,102,actor,Doctor,Kanji Furutachi,1968,N,actor,"tt6217926,tt6342402,tt10198224,tt5294966",False
tt12155064,Why Not You,Hochwald,2020,107,Drama,5.6,255,actor,Metzger Hermann,Hannes Perkmann,N,N,actor,"tt9670890,tt12155064,tt7904172,tt5476318",False
tt12162206,Toxic Behaviors,Toxic Behaviors,2020,54,Drama,7.2,11,actress,Stassi,Arshenna Hines,N,N,actress,"tt12162206,tt8311274,tt12025556,tt1600194",False
tt12163646,Agua de Arrayan,Agua de Arrayan,2021,64,Drama,8.1,12,actress,N,Lucía Guilmáin,1938,2021,actress,"tt0211827,tt0264903,tt0218412,tt0213342",False
