id,tituloPincipal,tituloOriginal,anoLancamento,tempoMinutos,genero,notaMedia,numeroVotos,generoArtista,personagem,nomeArtista,anoNascimento,anoFalecimento,profissao,titulosMaisConhecidos
tt10162730,Prem Amar 2,Prem Amar 2,2019,N,Romance,3.8,93,actor,N,Faysal Mia,N,N,actor,"tt12857176,tt10162730"
tt10162730,Prem Amar 2,Prem Amar 2,2019,N,Romance,3.8,93,actor,Aryan Mitra,Rakibul Hasan Mahmud,2000,N,"actor,music_department","tt10162730,tt11297214,tt4061558,tt6545298"
tt10165624,Christmas Coupon,Christmas Coupon,2019,92,Romance,3.4,223,actress,Lauren Holmes,Sheena Monnin,N,N,actress,"tt10165624,tt2198028"
tt10165624,Christmas Coupon,Christmas Coupon,2019,92,Romance,3.4,223,actress,Alison Grant,Courtney Mathews,N,N,"actress,producer,miscellaneous","tt6004438,tt8879858,tt10165624"
tt10165624,Christmas Coupon,Christmas Coupon,2019,92,Romance,3.4,223,actor,Ivan Hall,Aaron Noble,N,N,"actor,miscellaneous,location_management","tt11327400,tt21148744,tt7319486,tt10165624"
tt10165624,Christmas Coupon,Christmas Coupon,2019,92,Romance,3.4,223,actor,Bobby Harrison,Robert Laenen,N,N,"actor,stunts,special_effects","tt14950412,tt5845560,tt21046470,tt2332535"
tt10209164,Mogra Phulaalaa,Mogra Phulaalaa,2019,136,Romance,6.6,125,actor,Mitali's Father,Umesh Damle,N,N,actor,"tt10209164,tt2196564,tt9310280,tt4471622"
tt10209164,Mogra Phulaalaa,Mogra Phulaalaa,2019,136,Romance,6.6,125,actress,Mani Kaki,Sanyogita Bhave,N,N,actress,"tt10209164,tt14404402,tt2042560,tt0293342"
tt10209164,Mogra Phulaalaa,Mogra Phulaalaa,2019,136,Romance,6.6,125,actress,Sangita Vahini,Dipti Bhagawat,N,N,actress,"tt10238510,tt9466644,tt10209164"
tt10209164,Mogra Phulaalaa,Mogra Phulaalaa,2019,136,Romance,6.6,125,actress,Mitali,Madhuri Bharti,N,N,actress,"tt10209164,tt13220946"
tt10209164,Mogra Phulaalaa,Mogra Phulaalaa,2019,136,Romance,6.6,125,actress,Shivangi,Sai Deodhar,1974,N,"actress,producer","tt0102701,tt10011102,tt8858526,tt7654814"
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actress,Guo Xiaomeng,Yi-Lin Sie,1990,N,actress,"tt3861006,tt5425144,tt3313908,tt8443556"
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actor,Wu Chuan,Ryan Zheng,1986,N,"actor,soundtrack","tt12361974,tt2034800,tt6864046,tt3579688"
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actor,Huang Kequn,Dongxue Li,1982,N,actor,"tt4019426,tt6015706,tt2374683,tt10340368"
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actress,Lin Xintian,Amber Kuo,1986,N,"actress,soundtrack,camera_department","tt3209682,tt2202471,tt12960052,tt1291125"
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actress,Li Jiru,Annie Liu,1981,N,actress,"tt6329716,tt4304408,tt0452581,tt0781392"
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actress,N,Pauline Lan,1965,N,"actress,soundtrack","tt0093228,tt0187030,tt10419158,tt2059295"
tt10234494,Always Miss You,Xia yi ren: Qian ren,2019,98,Romance,3.9,55,actress,N,Hsin-Yi Chiu,N,N,actress,tt6357258
tt10241024,2 Weeks in Lagos,2 Weeks in Lagos,2019,107,Romance,6.3,50,actor,Traditional Marriage MC,Lawal Aramide,N,N,actor,"tt10241024,tt21417178,tt15520888,tt19314942"
tt10241024,2 Weeks in Lagos,2 Weeks in Lagos,2019,107,Romance,6.3,50,actress,Kemi,Toyin Abraham,N,N,"actress,producer,writer","tt6974886,tt16195034,tt19802602,tt6456034"
tt10241024,2 Weeks in Lagos,2 Weeks in Lagos,2019,107,Romance,6.3,50,actor,Drummer 1,Ayanlola Ayankunle,N,N,actor,tt10241024
tt10241024,2 Weeks in Lagos,2 Weeks in Lagos,2019,107,Romance,6.3,50,actor,Otunba Ayodeji,Bambo Adebowale,N,N,actor,tt10241024
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actor,N,Apple Mahmud Riyad,1995,N,"assistant_director,actor","tt12393152,tt12300694,tt10283234,tt12393268"
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actress,Moyna,Mousumi,1973,N,"actress,director,music_department","tt5524360,tt4014472,tt1961271,tt0466553"
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actress,N,Naila Nayem,N,N,actress,"tt10283234,tt11498266"
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actress,Sonia Hossain,Sonia Hossain,N,N,actress,"tt14146900,tt10283234,tt15097336"
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actor,Brother,Salahuddin Lavlu,N,N,"director,producer,actor","tt13147784,tt14780538,tt18295840,tt1998284"
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actor,N,Shimul Khan,N,N,actor,"tt5821344,tt5377580,tt4326944,tt7401868"
tt10283234,Ratrir Jatri,Ratrir Jatri,2019,N,Romance,7.8,12,actor,Ashik,Anisur Rahman Milon,N,N,actor,"tt6686136,tt15170450,tt1297828,tt9044418"
